Quote Text,Slug
The only way to do great work is to love what you do.,https://app.t2.world/article/quote1
Life is what happens when you're busy making other plans.,https://app.t2.world/article/quote2
Success is not the key to happiness. Happiness is the key to success.,https://app.t2.world/article/quote3
"It is our choices that show what we truly are, far more than our abilities.",https://app.t2.world/article/quote4
The best way to predict the future is to invent it.,https://app.t2.world/article/quote5
"If you can dream it, you can do it.",https://app.t2.world/article/quote6
Hardships often prepare ordinary people for an extraordinary destiny.,https://app.t2.world/article/quote7
"Success is not final, failure is not fatal: It is the courage to continue that counts.",https://app.t2.world/article/quote8
Don't watch the clock; do what it does. Keep going.,https://app.t2.world/article/quote9
Act as if what you do makes a difference. It does.,https://app.t2.world/article/quote10
Although, this seems to be nothing special, the tree and the colour of its leaves made it so serene.,https://app.t2.world/article/clwzhj5v21477961ymcfqzri6u3
